nama_variabel,jenis_kelamin,tahun,persen,provinsi
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,1.64,SUMATERA SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,2.83,BENGKULU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,3.6,LAMPUNG
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,2.47,KEP. BANGKA BELITUNG
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,1.29,KEP. RIAU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,0.39,DKI JAKARTA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,1.85,JAWA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,8.08,JAWA TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,6.62,DI YOGYAKARTA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,9.23,JAWA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,2.83,BANTEN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,6.73,BALI
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,13.95,NUSA TENGGARA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,6.52,NUSA TENGGARA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,8.16,KALIMANTAN BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,1.27,KALIMANTAN TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,2.04,KALIMANTAN SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,1.4,KALIMANTAN TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,3.84,KALIMANTAN UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,0.25,SULAWESI UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,2.13,SULAWESI TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,7.74,SULAWESI SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,6.01,SULAWESI TENGGARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,1.07,GORONTALO
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,7.54,SULAWESI BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,0.75,MALUKU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,1.46,MALUKU UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,3.03,PAPUA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,24.96,PAPUA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,4.92,INDONESIA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,0.93,ACEH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,0.44,SUMATERA UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,0.52,SUMATERA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,0.4,RIAU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,1.04,JAMBI
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,0.7,SUMATERA SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,0.87,BENGKULU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,1.46,LAMPUNG
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,1.07,KEP. BANGKA BELITUNG
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,0.52,KEP. RIAU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,0.17,DKI JAKARTA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,0.64,JAWA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,3.42,JAWA TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,2.39,DI YOGYAKARTA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,4.39,JAWA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,1.07,BANTEN
