nama_variabel,tahun,persen,provinsi
Sumbangan Pendapatan Perempuan,2018,37.1354801102,MALUKU
Sumbangan Pendapatan Perempuan,2018,36.4612560405023,MALUKU UTARA
Sumbangan Pendapatan Perempuan,2018,27.3104465546181,PAPUA BARAT
Sumbangan Pendapatan Perempuan,2018,36.5044512668972,PAPUA
Sumbangan Pendapatan Perempuan,2018,36.6970285739375,INDONESIA
Sumbangan Pendapatan Perempuan,2017,34.5619818255834,ACEH
Sumbangan Pendapatan Perempuan,2017,36.0264803819791,SUMATERA UTARA
Sumbangan Pendapatan Perempuan,2017,37.4007036488464,SUMATERA BARAT
Sumbangan Pendapatan Perempuan,2017,28.1279981841076,RIAU
Sumbangan Pendapatan Perempuan,2017,29.8716971870966,JAMBI
Sumbangan Pendapatan Perempuan,2017,34.6956673346754,SUMATERA SELATAN
Sumbangan Pendapatan Perempuan,2017,35.2128175646958,BENGKULU
Sumbangan Pendapatan Perempuan,2017,29.2304133385772,LAMPUNG
Sumbangan Pendapatan Perempuan,2017,26.1721165193023,KEP. BANGKA BELITUNG
Sumbangan Pendapatan Perempuan,2017,28.258438234162,KEP. RIAU
Sumbangan Pendapatan Perempuan,2017,37.743670327901,DKI JAKARTA
Sumbangan Pendapatan Perempuan,2017,29.4476704852982,JAWA BARAT
Sumbangan Pendapatan Perempuan,2017,34.1344206144906,JAWA TENGAH
Sumbangan Pendapatan Perempuan,2017,40.6334076300595,DI YOGYAKARTA
Sumbangan Pendapatan Perempuan,2017,35.6336154397189,JAWA TIMUR
Sumbangan Pendapatan Perempuan,2017,31.1294036785209,BANTEN
Sumbangan Pendapatan Perempuan,2017,37.6811826093499,BALI
Sumbangan Pendapatan Perempuan,2017,32.6852938722547,NUSA TENGGARA BARAT
Sumbangan Pendapatan Perempuan,2017,43.2500567081764,NUSA TENGGARA TIMUR
Sumbangan Pendapatan Perempuan,2017,34.9939377983394,KALIMANTAN BARAT
Sumbangan Pendapatan Perempuan,2017,33.3866777148746,KALIMANTAN TENGAH
Sumbangan Pendapatan Perempuan,2017,36.262552188909,KALIMANTAN SELATAN
Sumbangan Pendapatan Perempuan,2017,23.4287484560622,KALIMANTAN TIMUR
Sumbangan Pendapatan Perempuan,2017,25.8758765465216,KALIMANTAN UTARA
Sumbangan Pendapatan Perempuan,2017,32.1710636490365,SULAWESI UTARA
Sumbangan Pendapatan Perempuan,2017,30.2041165658162,SULAWESI TENGAH
Sumbangan Pendapatan Perempuan,2017,31.6270088141202,SULAWESI SELATAN
Sumbangan Pendapatan Perempuan,2017,36.0296670134294,SULAWESI TENGGARA
Sumbangan Pendapatan Perempuan,2017,26.097612186392,GORONTALO
Sumbangan Pendapatan Perempuan,2017,36.2076818710334,SULAWESI BARAT
Sumbangan Pendapatan Perempuan,2017,37.1267370956508,MALUKU
Sumbangan Pendapatan Perempuan,2017,36.4497199375829,MALUKU UTARA
Sumbangan Pendapatan Perempuan,2017,26.9958064679764,PAPUA BARAT
Sumbangan Pendapatan Perempuan,2017,36.4930658263868,PAPUA
Sumbangan Pendapatan Perempuan,2017,36.6160864948751,INDONESIA
