nama_variabel,jenis_kelamin,tahun,angka,provinsi
Angka Harapan Lama Sekolah,Laki-laki,2020,13.69,SUMATERA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2020,13.19,RIAU
Angka Harapan Lama Sekolah,Laki-laki,2020,12.94,JAMBI
Angka Harapan Lama Sekolah,Laki-laki,2020,12.4,SUMATERA SELATAN
Angka Harapan Lama Sekolah,Laki-laki,2020,13.56,BENGKULU
Angka Harapan Lama Sekolah,Laki-laki,2020,12.54,LAMPUNG
Angka Harapan Lama Sekolah,Laki-laki,2020,11.97,KEP. BANGKA BELITUNG
Angka Harapan Lama Sekolah,Laki-laki,2020,12.84,KEPULAUAN RIAU
Angka Harapan Lama Sekolah,Laki-laki,2020,13.09,DKI JAKARTA
Angka Harapan Lama Sekolah,Laki-laki,2020,12.5,JAWA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2020,12.7,JAWA TENGAH
Angka Harapan Lama Sekolah,Laki-laki,2020,15.59,D I YOGYAKARTA
Angka Harapan Lama Sekolah,Laki-laki,2020,13.24,JAWA TIMUR
Angka Harapan Lama Sekolah,Laki-laki,2020,12.89,BANTEN
Angka Harapan Lama Sekolah,Laki-laki,2020,13.48,BALI
Angka Harapan Lama Sekolah,Laki-laki,2020,13.9,NUSA TENGGARA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2020,13.08,NUSA TENGGARA TIMUR
Angka Harapan Lama Sekolah,Laki-laki,2020,12.57,KALIMANTAN BARAT
Angka Harapan Lama Sekolah,Laki-laki,2020,12.67,KALIMANTAN TENGAH
Angka Harapan Lama Sekolah,Laki-laki,2020,12.71,KALIMANTAN SELATAN
Angka Harapan Lama Sekolah,Laki-laki,2020,13.71,KALIMANTAN TIMUR
Angka Harapan Lama Sekolah,Laki-laki,2020,12.93,KALIMANTAN UTARA
Angka Harapan Lama Sekolah,Laki-laki,2020,12.76,SULAWESI UTARA
Angka Harapan Lama Sekolah,Laki-laki,2020,13.07,SULAWESI TENGAH
Angka Harapan Lama Sekolah,Laki-laki,2020,13.36,SULAWESI SELATAN
Angka Harapan Lama Sekolah,Laki-laki,2020,13.63,SULAWESI TENGGARA
Angka Harapan Lama Sekolah,Laki-laki,2020,12.8,GORONTALO
Angka Harapan Lama Sekolah,Laki-laki,2020,12.73,SULAWESI BARAT
Angka Harapan Lama Sekolah,Laki-laki,2020,13.82,MALUKU
Angka Harapan Lama Sekolah,Laki-laki,2020,13.72,MALUKU UTARA
Angka Harapan Lama Sekolah,Laki-laki,2020,13.47,PAPUA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2020,11.3,PAPUA
Angka Harapan Lama Sekolah,Laki-laki,2020,12.93,INDONESIA
Angka Harapan Lama Sekolah,Perempuan,2019,14.47,ACEH
Angka Harapan Lama Sekolah,Perempuan,2019,13.4,SUMATERA UTARA
Angka Harapan Lama Sekolah,Perempuan,2019,14.4,SUMATERA BARAT
Angka Harapan Lama Sekolah,Perempuan,2019,13.4,RIAU
Angka Harapan Lama Sekolah,Perempuan,2019,13.16,JAMBI
